Victim,Group,Date
datacampos.com,ElDorado,9/30/2024
https://decalesp.com,blacksuit,9/30/2024
verco.co.uk,threeam,9/30/2024
Community Hospital of Anaconda,meow,9/30/2024
"BELL DATA, Inc",medusa,9/30/2024
Travel Alberta,medusa,9/30/2024
carlile-group.com,threeam,9/30/2024
sacredheart.southwark.sch.uk,threeam,9/30/2024
mctas.org.au,threeam,9/30/2024
mnpl.com.sg,threeam,9/30/2024
Keller Williams Realty Group,qilin,9/30/2024
canstarrestorations.com ,qilin,9/30/2024
TOTVS,blackbyte,9/30/2024
IDEALEASE INC,nitrogen,9/30/2024
Control Panels USA,nitrogen,9/30/2024
Spectrum Industries,nitrogen,9/30/2024
Magenta Photo Studio,nitrogen,9/30/2024
Brechbuhler Scales Inc,nitrogen,9/30/2024
MDSi INC,nitrogen,9/30/2024
sacredheart.southwark.sch,threeam,9/30/2024
canstarrestorations.com,qilin,9/30/2024
Lee Hoffoss Injury Lawyers,meow,9/30/2024
itap.nacc.go.th,killsec,9/30/2024
"McAbee Construction, Inc",qilin,9/30/2024
decalesp.com,blacksuit,9/30/2024
Isola,medusa,9/30/2024
"Sub-Zero, Wolf, and Cove",medusa,9/30/2024
Plastics Plus,rhysida,9/30/2024
Freshstart Credit Repair,meow,9/30/2024
MacGillivray Law,meow,9/30/2024
weisermemorialhospital.org,embargo,9/30/2024
porter.in,killsec,9/30/2024
nfe.fazenda.gov.br,killsecurity,9/29/2024
poorvika.com,killsecurity,9/29/2024
Bayou DeSiard Country Club,cicada3301,9/29/2024
Affirm Agency,play,9/29/2024
InteriorWorx Commercial Flooring,play,9/29/2024
Performance Food Centers,play,9/29/2024
Reutter,play,9/29/2024
4B Components,play,9/29/2024
Andantex USA,play,9/29/2024
G/S Solutions,play,9/29/2024
"Condere Ip, Infracom Group",play,9/29/2024
The Rubber Resources,play,9/29/2024
Classic Business Products,play,9/29/2024
Garvey,play,9/29/2024
Divine Interprises INC,incransom,9/29/2024
DINAS Corp,incransom,9/29/2024
Alvan Blanch,meow,9/29/2024
cdc-biodiversite.fr,blackout,9/29/2024
Moeller Door and Window,meow,9/29/2024
OffRoadAction,meow,9/29/2024
SaniRent,meow,9/29/2024
markdom.com,ransomhub,9/29/2024
nfe.fazenda.gov.br ,killsecurity,9/29/2024
Soreq NRC Hacked,handala,9/28/2024
Soreq NRC,handala,9/28/2024
appweb.usinacoruripe.com.br,ransomhub,9/28/2024
rockymountaingastro.com,ransomhub,9/28/2024
RÃ¸ros Hotell,medusa,9/28/2024
www.contegritygroup.com,ransomhub,9/28/2024
