Organization,Threat Actor,Date
www.metlife.com,ransomhub,12/31/2024
Cogitis,dragonforce,12/31/2024
moh.gov.vn,funksec,12/31/2024
tsag-agaar.gov.mn,funksec,12/31/2024
maim.gov.my,funksec,12/31/2024
banksulutgo,funksec,12/31/2024
Zeifmans,play,12/30/2024
McCray Lumber,play,12/30/2024
Luxury Yacht Group,play,12/30/2024
Bettisworth North,play,12/30/2024
Allen Carr’s Easyway Hacked,handala,12/30/2024
Mai***********.de,cloak,12/30/2024
bac***********.com.au,cloak,12/30/2024
Town of Ponoka,cloak,12/30/2024
mof.gov.la,funksec,12/30/2024
apexfootwearltd.com,funksec,12/30/2024
mofaga.gov.np,funksec,12/30/2024
moph.gov.lb,funksec,12/30/2024
dcd.gov.ae,funksec,12/30/2024
bitnato.one,funksec,12/30/2024
equitiesnagain.com,funksec,12/30/2024
Allen Carr’s Easyway,handala,12/30/2024
asesoriacamen.es,ransomhub,12/29/2024
www.psccorporation.com,ransomhub,12/29/2024
Enge Ilha Construção,arcusmedia,12/29/2024
Hi-Raise Constructions Holding,arcusmedia,12/29/2024
Megaexit,arcusmedia,12/29/2024
Wosac,arcusmedia,12/29/2024
Innois,arcusmedia,12/29/2024
Meerapfel Family,arcusmedia,12/29/2024
IEC + EMCO,arcusmedia,12/29/2024
Engenet Informatica,arcusmedia,12/29/2024
royalinsignia.com,safepay,12/29/2024
starkvillesd.com,safepay,12/29/2024
spiro.k12.ok.us,safepay,12/29/2024
byronunionschooldistrict.us,safepay,12/29/2024
multicoasia.com,safepay,12/29/2024
dprinvestments.com,safepay,12/29/2024
UPR.SG,safepay,12/29/2024
deportesapalategui.com,funksec,12/29/2024
Ikav Global Energy,dragonforce,12/29/2024
Asheville Eye Associates,dragonforce,12/29/2024
dgenviro.com,eldorado,12/28/2024
timely.mn,darkvault,12/28/2024
nigico.gr,ransomhub,12/28/2024
Compass Communications(Attack again),ragroup,12/28/2024
Watertown Public Schools,ragroup,12/28/2024
STEG Stadtentwicklung,ragroup,12/28/2024
Ire-Omba SpA,ragroup,12/28/2024
Cell C,ransomhouse,12/28/2024
Youth Eastside Services,incransom,12/28/2024
Atos (Business Services · France),spacebears,12/28/2024
Farrar & Ball,lynx,12/28/2024
D&G Enviro-Group,ElDorado,12/28/2024
Watertown Public Schools,raworld,12/28/2024
STEG Stadtentwicklung,raworld,12/28/2024
Ire-Omba SpA,raworld,12/28/2024
asjp.cerist.dz,funksec,12/28/2024
nppvlxdthanhlong.com.vn,funksec,12/28/2024
shoppingcentropioneer.com,funksec,12/28/2024
vinati,lockbit3,12/27/2024
falp.org,incransom,12/27/2024
diazfoodsolutions.es,ransomhub,12/27/2024
Inner City Family Health Team (ICFHT.local),incransom,12/27/2024
[DISCLOSED] KuiperCompagnons,ransomhouse,12/27/2024
[DISCLOSED] Lago Group Spa,ransomhouse,12/27/2024
[DISCLOSED] INFiLED,ransomhouse,12/27/2024
Primary Health Services Center,incransom,12/27/2024
VO Baker,akira,12/27/2024
Family Help & Wellness,hunters,12/26/2024
Ober Mountain (OberGatlinburg.com),FOG,12/26/2024
Associates,bianlian,12/26/2024
Caframo Limited.,bianlian,12/26/2024
http://www.advokatur-bl.ch,ciphbit,12/26/2024
Car Care Plan - Data Breach,hellcat,12/26/2024
Pergher Notariat,ciphbit,12/26/2024
E-Tank,akira,12/26/2024
Charlie’s Tax Service,akira,12/26/2024
Pinno Construction,akira,12/26/2024
Ramos Law,akira,12/26/2024
McCormick & Priore,interlock,12/26/2024
McFarlane,akira,12/26/2024
Rio Negro,akira,12/26/2024
MLP Tax & Financial Services,akira,12/26/2024
Michelle Accesorios,sarcoma,12/26/2024
Car Care Plan - Turkey,hellcat,12/26/2024
Reutone Hacked,handala,12/25/2024
Aroma Housewares Co (Aromaco.com),FOG,12/25/2024
STIIIZY Happy New 20025 !,everest,12/25/2024
T Smiles Dental,rhysida,12/25/2024
Sistem Informasi Pengelolaan Keuangan Daerah (SIPKD) - Blora Regency,hellcat,12/25/2024
sensualcollection.com,ransomhub,12/25/2024
devoutdigital.com,funksec,12/25/2024
Supraterra,sarcoma,12/25/2024
Reutone,handala,12/25/2024
Inteleca,akira,12/25/2024
Tillamook Country Smoker,akira,12/25/2024
Mint Pharmaceuticals,8base,12/25/2024
itca.edu.sv,safepay,12/25/2024
etplaw.com,safepay,12/25/2024
Sistem Informasi Pengelolaan Keuangan Daerah (SIPKD),hellcat,12/25/2024
Pinger - USA,hellcat,12/25/2024
netox.net,funksec,12/25/2024
SeaLandAire Technologies,hunters,12/24/2024
bri.co.id (SOLD TO 3RD PARTY),bashe,12/24/2024
relate-infotech.com,eldorado,12/24/2024
linebank.co.id,bashe,12/24/2024
2sign.co.il,funksec,12/24/2024
bluey#####,clop,12/24/2024
pispl#####,clop,12/24/2024
linfo#####,clop,12/24/2024
espri#####,clop,12/24/2024
datat#####,clop,12/24/2024
weste#####,clop,12/24/2024
cleo#####,clop,12/24/2024
centr#####,clop,12/24/2024
clawl#####,clop,12/24/2024
cps#####,clop,12/24/2024
terra#####,clop,12/24/2024
sdite#####,clop,12/24/2024
hear#####,clop,12/24/2024
ciera#####,clop,12/24/2024
steel#####,clop,12/24/2024
ekome#####,clop,12/24/2024
mercu#####,clop,12/24/2024
coves#####,clop,12/24/2024
thoms#####,clop,12/24/2024
nissi#####,clop,12/24/2024
encom#####,clop,12/24/2024
iceri#####,clop,12/24/2024
break#####,clop,12/24/2024
datad#####,clop,12/24/2024
premi#####,clop,12/24/2024
nowin#####,clop,12/24/2024
consu#####,clop,12/24/2024
sweet#####,clop,12/24/2024
ofs-p#####,clop,12/24/2024
sheer#####,clop,12/24/2024
innot#####,clop,12/24/2024
keeac#####,clop,12/24/2024
champ#####,clop,12/24/2024
jomar#####,clop,12/24/2024
alpin#####,clop,12/24/2024
c3gro#####,clop,12/24/2024
jakks#####,clop,12/24/2024
cree#####,clop,12/24/2024
hertz#####,clop,12/24/2024
hillb#####,clop,12/24/2024
coyot#####,clop,12/24/2024
north#####,clop,12/24/2024
bmius#####,clop,12/24/2024
busin#####,clop,12/24/2024
ruia#####,clop,12/24/2024
datac#####,clop,12/24/2024
emkay#####,clop,12/24/2024
arrow#####,clop,12/24/2024
velso#####,clop,12/24/2024
SPGus#####,clop,12/24/2024
MadEn#####,clop,12/24/2024
bradl#####,clop,12/24/2024
sully#####,clop,12/24/2024
spade#####,clop,12/24/2024
smc3#####,clop,12/24/2024
Artik#####,clop,12/24/2024
burri#####,clop,12/24/2024
whitm#####,clop,12/24/2024
seatt#####,clop,12/24/2024
utili#####,clop,12/24/2024
cdrso#####,clop,12/24/2024
calex#####,clop,12/24/2024
polar#####,clop,12/24/2024
ampol#####,clop,12/24/2024
uslug#####,clop,12/24/2024
olame#####,clop,12/24/2024
Relate Infotech,ElDorado,12/24/2024
federalbank.co.in (PART1),apt73,12/24/2024
Good Neighbors Credit Union,akira,12/24/2024
Baker Tilly Morrison Murray,sarcoma,12/24/2024
Kern Services,sarcoma,12/24/2024
Farrar & Ball,lynx,12/24/2024
itc.gov.ae with 1K !,funksec,12/24/2024
egyptair.com 5 sell,funksec,12/24/2024
asjp.cerist.dz sell,funksec,12/24/2024
acwlaw.com,lockbit3,12/23/2024
It seems that it was easier to pay and calmly fix everything.,braincipher,12/23/2024
